

-0.2 -7
-3.8 -7


-0.214194 -6.7744
-3.78581 -7.2256


-0.25655 -6.55236
-3.74345 -7.44764


-0.326402 -6.33738
-3.6736 -7.66262


-0.422648 -6.13284
-3.57735 -7.86716


-0.543769 -5.94199
-3.45623 -8.05801


-0.687857 -5.76782
-3.31214 -8.23219


-0.852637 -5.61308
-3.14736 -8.38692


-1.03551 -5.48021
-2.96449 -8.51979


-1.2336 -5.37131
-2.7664 -8.62869


-1.44377 -5.2881
-2.55623 -8.7119


-1.66271 -5.23188
-2.33729 -8.76812


-1.88698 -5.20355
-2.11302 -8.79645


-2.11302 -5.20355
-1.88698 -8.79645


-2.33729 -5.23188
-1.66271 -8.76812


-2.55623 -5.2881
-1.44377 -8.7119


-2.7664 -5.37131
-1.2336 -8.62869


-2.96449 -5.48021
-1.03551 -8.51979


-3.14736 -5.61308
-0.852636 -8.38692


-3.31214 -5.76782
-0.687856 -8.23218


-3.45623 -5.94199
-0.543769 -8.05801


-3.57735 -6.13284
-0.422648 -7.86716


-3.6736 -6.33738
-0.326402 -7.66262


-3.74345 -6.55236
-0.25655 -7.44764


-3.78581 -6.7744
-0.214193 -7.2256


-3.8 -7
-0.2 -7


-3.78581 -7.2256
-0.214194 -6.7744


-3.74345 -7.44764
-0.25655 -6.55236


-3.6736 -7.66262
-0.326402 -6.33738


-3.57735 -7.86716
-0.422648 -6.13284


-3.45623 -8.05801
-0.543769 -5.94199


-3.31214 -8.23219
-0.687856 -5.76782


-3.14736 -8.38692
-0.852637 -5.61308


-2.96449 -8.51979
-1.03551 -5.48021


-2.7664 -8.62869
-1.2336 -5.37131


-2.55623 -8.7119
-1.44377 -5.2881


-2.33729 -8.76812
-1.66271 -5.23188


-2.11302 -8.79645
-1.88698 -5.20355


-1.88698 -8.79645
-2.11302 -5.20355


-1.66271 -8.76812
-2.33729 -5.23188


-1.44377 -8.7119
-2.55623 -5.2881


-1.2336 -8.62869
-2.7664 -5.37131


-1.03551 -8.51979
-2.96449 -5.48021


-0.852636 -8.38692
-3.14736 -5.61308


-0.687856 -8.23218
-3.31214 -5.76782


-0.543769 -8.05801
-3.45623 -5.94199


-0.422648 -7.86716
-3.57735 -6.13284


-0.326402 -7.66262
-3.6736 -6.33738


-0.25655 -7.44764
-3.74345 -6.55236


-0.214194 -7.2256
-3.78581 -6.7744


3 0
0 3
-3 0
0 -3
-9 5
-10.5 6


2 2
-2 -2
-9.5 5.9
-10.5 4.2


-3 3.5
-3 2.5
-2 3
-1.5 3.5
-1.5 2
-1.5 1
-0.5 2.5
-1 -7
-2.5 -6.1
-2.5 -7.9
4 -7
2.5 -6.1
2.5 -7.9
-10 6
-10 4
-11 5


1 -1
1 -1.5
1 -2.5
1 -3
1 -3.5
1 -4.5
2 -2.5
2 -3
2 -3.5


0 0


1 0


3 3


-3 -3


-5 5


5 -5


-3 -7


-2 -7


3 -7


-10 5


-5 -7
