# 


# canal 1


# canal 2


# canal 3


# canal 4
1 4.250000 0.433013 'ao1d131v67'
2 3.750000 0.433013 'eo1d107v50'
3 3.500000 -0.000000 'co2d143v57'
4 3.750000 -0.433013 'fd129v56'
5 4.250000 -0.433013 'fo1d128v80'
6 4.500000 0.000000 'a-d159v67'
7 4.500000 0.866025 'gd151v69'
8 4.250000 1.299038 'b-o2d124v60'
9 3.750000 1.299038 'c+d177v56'
10 3.500000 0.866025 'fo1d190v69'
11 5.000000 0.000000 'cd180v62'
12 4.500000 -0.866025 'b-d115v42'
13 3.500000 -0.866025 'fo2d109v41'
14 3.750000 -1.299038 'f+o1d144v58'
15 4.250000 -1.299038 'eo1d165v78'
16 3.000000 -0.866026 'go1d108v77'
17 3.000000 0.866025 'b-o2d98v69'
18 3.500000 1.732051 'c+d161v79'
19 3.000000 1.732051 'f+d111v68'
20 2.750000 1.299038 'ao2d174v58'
21 4.500000 1.732051 'f+o1d106v54'
22 4.250000 2.165063 'bo2d142v58'
23 3.750000 2.165063 'a-o1d190v48'
24 3.750000 3.031089 'bo1d184v49'
25 3.500000 2.598076 'cd99v60'
26 3.500000 3.464101 'e-d140v69'
27 2.750000 3.897114 'bo2d135v45'
28 3.000000 3.464101 'ed174v73'
29 2.000000 4.330126 'f+d181v42'
30 2.250000 3.897114 'e-d189'
31 1.250000 4.763139 'f+d142v60'
32 1.500000 4.330126 'b-o2d120v40'
33 0.750000 4.763139 'fo1d170v70'
34 -0.250000 4.763138 'a-o2d157v68'
35 0.000000 4.330126 'fo1d186'
36 0.500000 4.330126 'f+d123v58'
37 -0.750000 4.763138 'b-o2d189v41'
38 -1.500000 4.330125 'eo2d167v43'
39 -1.000000 4.330125 'c+o2d141v65'
40 -2.500000 4.330125 'eo1d122v68'
41 -2.250000 3.897112 'av65'
42 -1.750000 3.897112 'ed129v42'
43 -3.000000 3.464099 'fo1d107v53'
44 -2.499999 3.464099 'fd179v80'
45 -3.750000 3.031086 'ao2d149v56'
46 -3.249999 3.031086 'gd137v71'
47 -3.999999 2.598073 'go2d110v71'
48 -4.500000 1.732048 'fo2d107v44'
49 -3.999999 1.732048 'c+d167v59'
50 -3.750000 2.165061 'a-o2d128v49'
51 -4.750000 1.299035 'b-o2d97v47'
52 -4.750000 0.433010 'dd119v65'
53 -4.500000 0.866022 'fo1d142v69'
54 -4.750000 -0.433016 'bo2d101v41'
55 -4.500000 -0.000003 'eo1d188v75'
56 -4.750000 -1.299041 'c+o2d151v51'
57 -4.500000 -0.866028 'ad176v74'
58 -4.500000 -1.732054 'ao2d101'
59 -3.999999 -2.598079 'ed103v61'
60 -3.750000 -2.165066 'bo2d141v43'
61 -4.000000 -1.732054 'b-o2d103v77'
62 -3.750000 -3.031092 'e-d124v68'
63 -3.000000 -3.464104 'b-d133v62'
64 -3.250000 -3.031091 'gd105v50'
65 -2.250000 -3.897117 'b-o2d185v41'
66 -2.500000 -3.464104 'ed120v75'
67 -1.499999 -4.330129 'gd100v52'
68 -1.749999 -3.897116 'co2d192v48'
69 -0.749999 -4.763142 'f+o1d134v78'
70 -0.999999 -4.330129 'e-o2d107v74'
71 -0.249999 -4.763142 'bo2d177v50'
72 0.750001 -4.763142 'ao2d168v49'
73 0.500001 -4.330129 'e-d152v42'
74 0.000001 -4.330129 'e-d184v53'
75 1.250001 -4.763142 'a-o1d150v51'
76 2.000001 -4.330129 'a-d181v52'
77 1.500001 -4.330129 'b-d139v47'
78 2.750001 -3.897116 'f+d172v74'
79 2.250001 -3.897116 'e-d128v77'
80 3.500001 -3.464104 'a-d123v64'
81 3.000001 -3.464104 'fo2d191v68'
82 3.750001 -3.031091 'c+d140v73'
83 4.250001 -2.165066 'c+o2d121v70'
84 3.750001 -2.165066 'c+d115v52'
85 3.500001 -2.598079 'c+o2d112v62'
86 4.500001 -1.732054 'fo1d165v41'
87 3.500001 -1.732054 'do2d187v44'
88 2.750001 -1.299041 'e-d107v40'
89 3.000001 -1.732054 'eo2d176v54'
90 2.250001 -2.165067 'c+d181v55'
91 2.750001 -2.165067 'bo2d99v47'
92 1.500001 -2.598080 'b-o1d157v76'
93 2.000001 -2.598080 'ao1v42'
94 0.750001 -3.031092 'bo1d146v50'
95 1.250001 -3.031092 'cd162v46'
96 -0.249999 -3.031093 'a-d132v52'
97 0.000001 -3.464105 'bo1d147v47'
98 0.500001 -3.464105 'cd138v70'
99 -0.749999 -3.031093 'eo1d117v71'
100 -1.499999 -2.598080 'c+d175v72'
101 -2.499999 -1.732055 'dd102v74'
102 -2.249999 -2.165068 'f+o1d166v73'
103 -2.999999 -0.866030 'fo2d99v61'
104 -3.249999 -1.299043 'a-o1d185v75'
105 -2.999999 -1.732055 'a-o1d168v51'
106 -3.249999 -0.433017 'fo1d146v73'
107 -2.999999 0.866021 'go2d137v54'
108 -3.249999 0.433008 'do2d157v75'
109 -2.499999 1.732046 'ed97v49'
110 -2.999999 1.732046 'bo1d166v80'
111 -3.249999 1.299033 'fo1d157v50'
112 -2.249999 2.165059 'fo2d138v77'
113 -1.749999 3.031084 'a-d121v47'
114 -2.249999 3.031084 'fd125v68'
115 -2.499999 2.598071 'e-o2d145v67'
116 -0.749999 3.031084 'b-o1d150v68'
117 -0.999999 3.464097 'f+d130v54'
118 -1.499999 3.464097 'do2d113v77'
119 -0.249999 3.031084 'b-o1d165v67'
120 0.750001 3.031084 'f+d159v42'
121 0.500001 3.464097 'bo1d102v48'
122 0.000001 3.464097 'bo2d179v50'
123 1.250001 3.031084 'go2d118v70'
124 2.250001 2.165059 'b-o1d165v59'
125 2.000001 2.598072 'b-d189v72'
126 2.750002 2.165059 'a-o1d122v45'
127 3.000002 2.598072 'b-d114v48'
128 2.750002 3.031085 'ao2d189v65'
129 2.000002 3.464097 'cd178v64'
130 2.250002 3.031084 'cd178v58'
131 1.250002 3.897110 'a-d174v52'
132 1.500002 3.464097 'a-d184v61'
133 0.750002 3.897109 'a-o2d114v79'
134 -0.249998 3.897109 'a-o1d106v74'
135 -0.749998 3.897109 'bo1d136v74'
136 -2.999999 2.598071 'eo2d99v69'
137 -3.249998 2.165059 'e-o2d190v72'
138 -3.749999 1.299033 'c+d131v55'
139 -3.999998 0.866020 'a-o1d126v43'
140 -3.999998 -0.000005 'c+o2d126v77'
